volts (V),actual_distance_z(um),distance_pi_z(um),actual_distance_x(um),actual_distance_y(um)
0,0,57.37,0,0
1,0,58.11,,
2,1,58.9,3,0
3,2,59.7,,
4,2,60.52,4,0
5,3,61.35,,
6,4,62.21,7,2
7,5,63.08,,
8,5,63.97,9,3
9,6,64.89,,
10,7,65.83,11,5
11,8,66.81,,
12,9,67.84,12,6
13,11,68.88,,
14,11,69.93,15,8
15,12,71.01,,
16,13,72.1,17,9
17,14,73.19,,
18,16,74.32,17,10
19,17,75.42,,
20,18,76.56,19,12
21,19,77.69,,
22,20,78.85,22,14
23,21,80.02,,
24,22,81.19,24,16
25,23,82.39,,
26,24,83.57,28,17
27,26,84.79,,
28,27,85.99,29,19
29,28,87.21,,
30,29,88.44,31,21
31,30,89.67,,
32,32,90.92,34,23
33,34,92.17,,
34,36,93.42,36,26
35,36,94.68,,
36,37,95.95,41,28
37,38,97.22,,
38,40,98.49,41,30
39,41,99.77,,
40,42,101.05,44,33
41,44,102.34,,
42,45,103.63,46,35
43,46,104.91,,
44,47,106.2,49,37
45,48,107.5,,
46,50,108.8,51,40
47,51,110.09,,
48,52,111.39,54,42
49,54,112.7,,
50,55,114,56,44
51,56,114.82,,
52,57,114.82,59,46
53,59,114.82,,
54,60,114.82,61,49
55,61,114.82,,
56,63,114.82,64,51
57,64,114.82,,
58,65,114.82,67,53
59,67,114.82,,
60,68,114.82,69,55
61,69,114.82,,
62,71,114.82,72,57
63,72,114.82,,
64,73,114.82,74,59
65,75,114.82,,
66,76,114.82,76,62
67,77,114.82,,
68,78,114.82,79,64
69,80,114.82,,
70,81,114.82,81,66
71,82,114.82,,
72,84,114.82,83,69
73,85,114.82,,
74,86,114.82,86,71
75,87,114.82,,
76,88,114.82,88,73
77,90,114.82,,
78,91,114.82,91,75
79,92,114.82,,
80,93,114.82,93,77
81,95,114.82,,
82,96,114.82,96,79
83,97,114.82,,
84,98,114.82,98,81
85,100,114.82,,
86,101,114.82,100,83
87,102,114.82,,
88,104,114.82,103,85
89,105,114.82,,
90,106,114.82,105,87
91,107,114.82,,
92,108,114.82,107,89
93,110,114.82,,
94,111,114.82,109,91
95,112,114.82,,
96,113,114.82,111,93
97,114,114.82,,
98,115,114.82,113,95
99,116,114.82,,
100,118,114.82,115,98
